biomarkerID,biomarkerName,biomarkerType,curated_disease_name,biomarkerUsage,sample,curated_breed_name,sex,age,weight,cellLine,organism,gene,traitAssociation,roc,km,cox,conclusion,pmid
2409,Alcohol dehydrogenase 1-like,protein,intestinal disorder,identification,collected from 11 dogs with CCE and 14 healthy staff-owned dogs ,"German Boxer,Labrador Retriever,Bichon Frise,Border Collie,Irish Setter,Lakeland Terrier,Miniature Schnauzer,Pug,Weimaraner","The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,,9615,,,,,,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases",34958965
2410,Cu/Zn superoxide dismutase,protein,intestinal disorder,identification,collected from 11 dogs with CCE and 14 healthy staff-owned dogs ,"German Boxer,Labrador Retriever,Bichon Frise,Border Collie,Irish Setter,Lakeland Terrier,Miniature Schnauzer,Pug,Weimaraner","The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,,9615,,,,,,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases",34958965
710,(Z)-3-peroxyaminoacrylate,metabolite,Cannabidiol,identification,,,both,9months-4years,18.2±3.4 kg,,9615,,,AUROC = 0.95; P < 0.001,,,Biomarker analysis based on receiver operating characteristic (ROC) curves was performed to identify biomarker candidates (area under ROC ≥ 0.90) of the effects of CBD supplementation.,34336977
711,"1,4-diaminobutane",metabolite,Cannabidiol,identification,,,both,9months-4years,18.2±3.4 kg,,9615,,,AUROC = 0.95; P < 0.001,,,Biomarker analysis based on receiver operating characteristic (ROC) curves was performed to identify biomarker candidates (area under ROC ≥ 0.90) of the effects of CBD supplementation.,34336977
712,2’-deamino-2’-hydroxy-6’-dehydroparomamine,metabolite,Cannabidiol,identification,,,both,9months-4years,18.2±3.4 kg,,9615,,,AUROC = 0.95; P = 0.004,,,Biomarker analysis based on receiver operating characteristic (ROC) curves was performed to identify biomarker candidates (area under ROC ≥ 0.90) of the effects of CBD supplementation.,34336977
713,ascorbate ,metabolite,Cannabidiol,identification,,,both,9months-4years,18.2±3.4 kg,,9615,,,AUROC = 0.95; P = 0.003,,,Biomarker analysis based on receiver operating characteristic (ROC) curves was performed to identify biomarker candidates (area under ROC ≥ 0.90) of the effects of CBD supplementation.,34336977
714,D-lysopine,metabolite,Cannabidiol,identification,,,both,9months-4years,18.2±3.4 kg,,9615,,,AUROC = 0.95; P = 0.004,,,Biomarker analysis based on receiver operating characteristic (ROC) curves was performed to identify biomarker candidates (area under ROC ≥ 0.90) of the effects of CBD supplementation.,34336977
715,o-tyrosine,metabolite,Cannabidiol,identification,,,both,9months-4years,18.2±3.4 kg,,9615,,,AUROC = 0.95;P = 0.001,,,Biomarker analysis based on receiver operating characteristic (ROC) curves was performed to identify biomarker candidates (area under ROC ≥ 0.90) of the effects of CBD supplementation.,34336977
716,phenylalanyl-glycine,metabolite,Cannabidiol,identification,,,both,9months-4years,18.2±3.4 kg,,9615,,,AUROC = 0.95; P = 0.002,,,Biomarker analysis based on receiver operating characteristic (ROC) curves was performed to identify biomarker candidates (area under ROC ≥ 0.90) of the effects of CBD supplementation.,34336977
717,"2,4-dihydroxyhept-2-enedioate",metabolite,Cannabidiol,identification,,,both,9months-4years,18.2±3.4 kg,,9615,,,AUROC = 0.94; P < 0.001,,,Biomarker analysis based on receiver operating characteristic (ROC) curves was performed to identify biomarker candidates (area under ROC ≥ 0.90) of the effects of CBD supplementation.,34336977
