biomarkerID,biomarkerName,biomarkerType,curated_disease_name,curated_breed_name,sex,age,weight,organism,conclusion
2409,Alcohol dehydrogenase 1-like,protein,intestinal disorder,German Boxer,"The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,9615,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases"
2409,Alcohol dehydrogenase 1-like,protein,intestinal disorder,Labrador Retriever,"The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,9615,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases"
2409,Alcohol dehydrogenase 1-like,protein,intestinal disorder,Bichon Frise,"The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,9615,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases"
2409,Alcohol dehydrogenase 1-like,protein,intestinal disorder,Border Collie,"The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,9615,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases"
2409,Alcohol dehydrogenase 1-like,protein,intestinal disorder,Irish Setter,"The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,9615,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases"
2409,Alcohol dehydrogenase 1-like,protein,intestinal disorder,Lakeland Terrier,"The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,9615,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases"
2409,Alcohol dehydrogenase 1-like,protein,intestinal disorder,Miniature Schnauzer,"The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,9615,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases"
2409,Alcohol dehydrogenase 1-like,protein,intestinal disorder,Pug,"The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,9615,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases"
2409,Alcohol dehydrogenase 1-like,protein,intestinal disorder,Weimaraner,"The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,9615,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases"
2410,Cu/Zn superoxide dismutase,protein,intestinal disorder,German Boxer,"The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,9615,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases"
2410,Cu/Zn superoxide dismutase,protein,intestinal disorder,Labrador Retriever,"The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,9615,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases"
2410,Cu/Zn superoxide dismutase,protein,intestinal disorder,Bichon Frise,"The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,9615,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases"
2410,Cu/Zn superoxide dismutase,protein,intestinal disorder,Border Collie,"The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,9615,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases"
2410,Cu/Zn superoxide dismutase,protein,intestinal disorder,Irish Setter,"The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,9615,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases"
2410,Cu/Zn superoxide dismutase,protein,intestinal disorder,Lakeland Terrier,"The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,9615,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases"
2410,Cu/Zn superoxide dismutase,protein,intestinal disorder,Miniature Schnauzer,"The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,9615,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases"
2410,Cu/Zn superoxide dismutase,protein,intestinal disorder,Pug,"The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,9615,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases"
2410,Cu/Zn superoxide dismutase,protein,intestinal disorder,Weimaraner,"The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,9615,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases"
710,(Z)-3-peroxyaminoacrylate,metabolite,Cannabidiol,,both,9months-4years,18.2±3.4 kg,9615,Biomarker analysis based on receiver operating characteristic (ROC) curves was performed to identify biomarker candidates (area under ROC ≥ 0.90) of the effects of CBD supplementation.
711,"1,4-diaminobutane",metabolite,Cannabidiol,,both,9months-4years,18.2±3.4 kg,9615,Biomarker analysis based on receiver operating characteristic (ROC) curves was performed to identify biomarker candidates (area under ROC ≥ 0.90) of the effects of CBD supplementation.
712,2’-deamino-2’-hydroxy-6’-dehydroparomamine,metabolite,Cannabidiol,,both,9months-4years,18.2±3.4 kg,9615,Biomarker analysis based on receiver operating characteristic (ROC) curves was performed to identify biomarker candidates (area under ROC ≥ 0.90) of the effects of CBD supplementation.
713,ascorbate ,metabolite,Cannabidiol,,both,9months-4years,18.2±3.4 kg,9615,Biomarker analysis based on receiver operating characteristic (ROC) curves was performed to identify biomarker candidates (area under ROC ≥ 0.90) of the effects of CBD supplementation.
714,D-lysopine,metabolite,Cannabidiol,,both,9months-4years,18.2±3.4 kg,9615,Biomarker analysis based on receiver operating characteristic (ROC) curves was performed to identify biomarker candidates (area under ROC ≥ 0.90) of the effects of CBD supplementation.
715,o-tyrosine,metabolite,Cannabidiol,,both,9months-4years,18.2±3.4 kg,9615,Biomarker analysis based on receiver operating characteristic (ROC) curves was performed to identify biomarker candidates (area under ROC ≥ 0.90) of the effects of CBD supplementation.
716,phenylalanyl-glycine,metabolite,Cannabidiol,,both,9months-4years,18.2±3.4 kg,9615,Biomarker analysis based on receiver operating characteristic (ROC) curves was performed to identify biomarker candidates (area under ROC ≥ 0.90) of the effects of CBD supplementation.
717,"2,4-dihydroxyhept-2-enedioate",metabolite,Cannabidiol,,both,9months-4years,18.2±3.4 kg,9615,Biomarker analysis based on receiver operating characteristic (ROC) curves was performed to identify biomarker candidates (area under ROC ≥ 0.90) of the effects of CBD supplementation.
718,asparaginyl-aspartic acid,metabolite,Cannabidiol,,both,9months-4years,18.2±3.4 kg,9615,Biomarker analysis based on receiver operating characteristic (ROC) curves was performed to identify biomarker candidates (area under ROC ≥ 0.90) of the effects of CBD supplementation.
719,isoferulic acid,metabolite,Cannabidiol,,both,9months-4years,18.2±3.4 kg,9615,Biomarker analysis based on receiver operating characteristic (ROC) curves was performed to identify biomarker candidates (area under ROC ≥ 0.90) of the effects of CBD supplementation.
2411,Meprin A subunit alpha,protein,intestinal disorder,German Boxer,"The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,9615,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases"
2411,Meprin A subunit alpha,protein,intestinal disorder,Labrador Retriever,"The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,9615,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases"
2411,Meprin A subunit alpha,protein,intestinal disorder,Bichon Frise,"The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,9615,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases"
2411,Meprin A subunit alpha,protein,intestinal disorder,Border Collie,"The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,9615,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases"
2411,Meprin A subunit alpha,protein,intestinal disorder,Irish Setter,"The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,9615,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases"
2411,Meprin A subunit alpha,protein,intestinal disorder,Lakeland Terrier,"The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,9615,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases"
2411,Meprin A subunit alpha,protein,intestinal disorder,Miniature Schnauzer,"The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,9615,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases"
2411,Meprin A subunit alpha,protein,intestinal disorder,Pug,"The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,9615,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases"
2411,Meprin A subunit alpha,protein,intestinal disorder,Weimaraner,"The group comprised 8 male dogs, 5 of which were neutered, and 3 female dogs, of which 2 were neutered",1-13years;average:7 years,,9615,"from the human field, this is the first canine CCE study to identify and quantify many of the aforementioned proteins in canine faeces and as such highlight their potential as biomarker candidates for differentiating CCE cases"
720,7-carboxy-7-carbaguanine,metabolite,Cannabidiol,,both,9months-4years,18.2±3.4 kg,9615,Biomarker analysis based on receiver operating characteristic (ROC) curves was performed to identify biomarker candidates (area under ROC ≥ 0.90) of the effects of CBD supplementation.
721,3-(4-hydroxyphenyl)pyruvate,metabolite,Cannabidiol,,both,9months-4years,18.2±3.4 kg,9615,Biomarker analysis based on receiver operating characteristic (ROC) curves was performed to identify biomarker candidates (area under ROC ≥ 0.90) of the effects of CBD supplementation.
722,aspartyl-threonine,metabolite,Cannabidiol,,both,9months-4years,18.2±3.4 kg,9615,Biomarker analysis based on receiver operating characteristic (ROC) curves was performed to identify biomarker candidates (area under ROC ≥ 0.90) of the effects of CBD supplementation.
723,isoleucyl-alanine,metabolite,Cannabidiol,,both,9months-4years,18.2±3.4 kg,9615,Biomarker analysis based on receiver operating characteristic (ROC) curves was performed to identify biomarker candidates (area under ROC ≥ 0.90) of the effects of CBD supplementation.
724,Glucose,metabolite,Cannabidiol,,both,9months-4years,18.2±3.4 kg,9615,Biomarker analysis based on receiver operating characteristic (ROC) curves was performed to identify biomarker candidates (area under ROC ≥ 0.90) of the effects of CBD supplementation.
1016,miR-143,miRNA,melanoma,,,,,9615,"Therefore, these miRNAs can be an incredible biomarker candidate to identify metastatic melanoma and facilitate a better prognosis."
1017,miR-221,miRNA,melanoma,,,,,9615,"Therefore, these miRNAs can be an incredible biomarker candidate to identify metastatic melanoma and facilitate a better prognosis"
2412,NGAL,protein,acute kidney failure,,,,,9615,"For the assay investigated, only NGAL performed well overall, with acceptable precision and accuracy of measurement"
